# baseline sample ids (story 131.20, plan D7) -- reuse verbatim for the post-rewrite run
# manifest=MANIFEST.jsonl manifest_sha256=dd924287cd90fce955dbef04c1833b25a4b6230bfbb7bd5f42f7761ce2b04b79
# seed=131 requested_n=2000 drawn_n=2000 strata=category x difficulty
# record_sha256 = sha256 of the record file per freeze_129_manifest.jsonl (sha256=13272718794b63356ff5c8cf26da068c6b134c87cb34c16c82243265d2740d93); blank if absent there
# task_id	category	difficulty	record_sha256
A-ARR-0001v7	A-ARR	1	e33f5ef66d5fb51ca00846dcfea298669e9df2eaa661da8066934557c111ef40
A-ARR-0003v63	A-ARR	1	0784f6fe7c0825146c9eb325aecc1a7a79db9b7d9ae30f07d990e7eda853aa71
A-ARR-0005v10	A-ARR	1	d779d38b6fa0d2ce85bbcfa0efcd1006e21ced4c3a7ae7862c0df7e2523522df
A-ARR-0006v23	A-ARR	1	86c1c65524c76354f1d968187088016a4f5274d31d50415cae0c97420dca993e
A-ARR-0007v18	A-ARR	1	854843b98f2adae22e4f32e952725ff88b3d9bb5b614fb54c969d7fba5bcf5a5
A-ARR-0008v69	A-ARR	1	4a76d2f682483a563698dd7c6fb31a18e646afc84d397fc8442034201d7a1690
A-ARR-0009v4	A-ARR	1	c098d062818ecca9cd4400d95dce34f0401bd75771bf6eaeb000c21e12192359
A-ARR-0010v41	A-ARR	1	132b89b8e65b8d293297e14fe3450adff648745bf6a142e931d68f5bba44189b
A-ARR-0011v61	A-ARR	1	af91a459d60c5cfde5f1ec8304f93782b921141b707a89df5898e73e22566c18
A-ARR-0011v63	A-ARR	1	075ee29eac7baac74294fd893b86b02aef75a9f35712b17be899987dd2ccec4e
A-ARR-0014v66	A-ARR	1	764c4231b168fd57401118cb37ee6906ab357f3edbb94c79ccf1a6c3131cf5e7
A-ARR-0015v55	A-ARR	1	d65ed3ca0620bd48dd7fd53833c88c3795563aa14b3685ed6c4554db16c48bfe
A-ARR-0017v1	A-ARR	1	364781aee2615d01638c01ba796bac9ca6766fa51c77a734b05bc529912752aa
A-ARR-0018v28	A-ARR	1	187890784a15f33875b3c5ba18e8f0c65d3104c2888df4a0fbc0e86e6dc20889
A-ARR-0018v54	A-ARR	1	d321cb30ccea778e4fcf0696b6bd5a8c5b7f988409dfad5860d9572694d23b3c
A-ARR-0018v68	A-ARR	1	789c509935c72a0ff347b0164ebb1febc4ea9df6e30a4eb9de8b8e85ee32dd25
A-ARR-0021v1	A-ARR	1	88047fe83561a3d72bedd85671a09e46036369b3d7de4c7b478b8f552f322ad8
A-ARR-0021v29	A-ARR	1	5ba634c2b2e5a1431eb1da23167b1ea816c6e7a347a18171fc295c9ce177fe38
A-ARR-0022v58	A-ARR	1	a0e99a046fd26bc5fe23f4f350b58aef0ef45b921c83c311dde83987b2002eae
A-ARR-0024v21	A-ARR	1	0c74c8b86d884f2752f7d55bffad37d51a57b165af487d936b0c12b186e74c03
A-ARR-0025v57	A-ARR	1	ca79450246f2ec098fec32653b321b83f4f7b1a5af6016855fd6a49cb7ea7615
A-ARR-0026v17	A-ARR	1	ee2977d6ed7ccee85a8114fdabecf35cd62f6b0eb19e0d4298565c10fda4e782
A-ARR-0027v10	A-ARR	1	c5d3374b6587793c36c1b195d6f7a9c903fd39a3fb4747da84dc8c26680ec730
A-ARR-0028v31	A-ARR	1	17ce48f7a1826241c40cc5189e8dbb2f6648664deccff9bbbd88062f506ce0d4
A-ARR-0028v38	A-ARR	1	098321b3f1c94e64b28e6407d8c5d34086173e84e7b7b134a768896a63c08f0a
A-ARR-0031v64	A-ARR	1	a5ce777cc03ad11b01e734f15861529cfdf0f1574b3de0caa9b7d3ed9bb47d8e
A-ARR-0032v15	A-ARR	1	3358c447f187ef7f339cc2b49419d7e902eda6b23107655e80819867636ab09a
A-ARR-0032v21	A-ARR	1	e56bcf4bcb2c523604b1d6a49a96f45af588caa766a662fb2e69506b80e93052
A-ARR-0032v46	A-ARR	1	38fa5cd770bfcd1e03571cadb07ce4ea0c927e0c5f6cf2839097a4ff79054a0e
A-ARR-0033	A-ARR	1	2aba3c8111958dd1de0a5ba87bd5d396b490f9f5db5fef6ff79cc53fbd3159c4
A-ARR-0033v2	A-ARR	1	132ee43e5536017c076c3dc5e82a4d6704428b877688b0ff6cce194a6166ec60
A-ARR-0033v26	A-ARR	1	247dae302a5e246793647aa2f7bd0f201f57cb89428d583829d7882017be3730
A-ARR-0034v28	A-ARR	1	7bc57e9c6375309083f010d5e9ef9a22d61520db872766f8f9a712d9648be409
A-ARR-0035v20	A-ARR	2	f418a40c85b0e687274efa5ba092b0f3aa6f5b0172d9c3c07cf1559d2522837a
A-ARR-0035v41	A-ARR	2	8b3a52384e93be1261fe76db66cc24e28cc1332894ec6c9bba2c4ccff98b0abb
A-ARR-0035v54	A-ARR	2	5c33bdc422df1671dc8a1994be74d9f53bd8641e172b693b4f41c4cc25867a26
A-ARR-0037v61	A-ARR	2	28b978ad217b28ca2881ccb61daa19f911f7226a863ccb56ff4b7abe78ddaa4d
A-ARR-0041v65	A-ARR	2	867402652709f442ccfcb376781659c7de33e69f0e0ce3135366dc7caec63540
A-ARR-0041v69	A-ARR	2	ee32344eeba22ecdd3c49ff4f9d783ec1d769c2d6abd15ef2e87b0e4853eca4f
A-ARR-0042v45	A-ARR	2	20c78eb770a2dd982061cf9f07505460a7bff744c84173ea5cf5cec058c79689
A-ARR-0042v57	A-ARR	2	700fb46895c68a95af8f32c1350f5072f0ad114fb5d75d5cbfe1ebc4715916f1
A-ARR-0042v63	A-ARR	2	448fb4bbb11aa9bb3a2306698e5f95c1cb5082c25d55cf88060cb2d80fcbb79b
A-ARR-0043v6	A-ARR	2	8dcc6d637ca77508dc611ae96962e44b802e91b4d3e11b06e9db31f90ccc6a04
A-ARR-0044v11	A-ARR	2	a79dfc509e55923af1c0b2270e6ac256c6d37df15599c02e1ff7cad1ab51b2b8
A-ARR-0045v8	A-ARR	2	07fce3bd700232fd6321b531c15beef6bc6cd187c84bb26502a6affe75dc04aa
A-ARR-0046v39	A-ARR	2	1e355cd8358417c1374f87e437e530a1f5fc1efd0f7e6f1119df8a6f2858db20
A-ARR-0047v22	A-ARR	2	764a234b6536823176055050a3fb26a77ee7fae280d5f7251a111ff66a5048ce
A-ARR-0047v68	A-ARR	2	1a51c09b27d930b4a15d74db0df8b26c4997b2d181c87351479aae7155166379
A-ARR-0048v3	A-ARR	2	c9427ecb114cbbd478340a3585eea693c58cb0ffa30c039b258b2dfa41fa7abe
A-ARR-0048v44	A-ARR	2	6641bc4a917236972a34b8f807497ba6dd7b1fad78387ed6c9b020d17ef25890
A-ARR-0049v13	A-ARR	2	3ea416d730b10b856235adc50b0c089096b731013ee728fde68659b7e1b45067
A-ARR-0049v40	A-ARR	2	34534db7e7855988a0f6f38b31a8e1096d7d2b982dec2ccf84b7520939c97dc7
A-ARR-0049v66	A-ARR	2	d86a0f84afefbe57f04cec53ea8249e6ce9b8bf9cfc6b6db66ffcaee4e262920
A-ARR-0051v63	A-ARR	2	b05cfdc163c47c9873564009f7ddd600749410785ea74436278470b063d6f8cf
A-ARR-0052v53	A-ARR	2	237fbbd8ce0164a5ad18bb24c1c74fc4916050b27887af10483b11bc3f22d8f9
A-ARR-0052v63	A-ARR	2	73777348048a4faac48197da19ba0b2859699aeb665a3f1b1f1b99368dafe304
A-ARR-0056v65	A-ARR	2	9e95f43508da8ef213069b6b126af352304ef388e63887a3b81d023ca2d30c8e
A-ARR-0057v15	A-ARR	2	458d28553575f3dc97d2a8dc88000bc5412f62a65f70e61a41f80c4050bd9dd4
A-ARR-0058v13	A-ARR	2	c9d75d468af33260595a09d9c6d39c75506149b543c762d203b48e49d0851f08
A-ARR-0058v24	A-ARR	2	a8bd512fcd5a32dbb09bd6e98cf17b968da856791dad6c539c5c24b7c718744b
A-ARR-0063v46	A-ARR	2	f380fe0b11fc98d6c429fb609a6a23c9bbbc35b25cd644fbea9513ada0fe59b6
A-ARR-0066v24	A-ARR	2	e83e5b9d2384136269afb40edbcf35eba3b744b47591a993f473a1e1b2b4be81
A-ARR-0066v53	A-ARR	2	796d1bc9876dd077373fea3ae8c3bb9a9c320e6d0d27dfc00e3b30243fec7e64
A-ARR-0066v9	A-ARR	2	654bd1942a78e8fe03df7d1f67e95b5a81a66d1160b0d68854c4630ed9f355fb
A-ARR-0067v66	A-ARR	2	bcdf3650b03dc2a8f95b6583ab972ae145a4746fa1f1346d0f72926c14dff676
A-ARR-0068v30	A-ARR	2	7602b8f613813a41405c842fb1bf9ef659a12d53f30f18da3f6e98911172152d
A-ARR-0069v8	A-ARR	2	38e2b18b7d7e7699017f9c13b4c6dc60f0536773446c99b64b44d1c0b2808f0b
A-ARR-0071v8	A-ARR	2	56ac0b66a00c45a7e96bf7581e50c7acd2f4397bd65d2b33c7c42eb6c0dcd9f3
A-ARR-0072v13	A-ARR	2	903eaea092ff6965858b99f6bb9c4c5632ed353c90ef32a7dee4a632f80ce71b
A-ARR-0072v19	A-ARR	2	a9d04ae37eeb97fbf4218af8ae4d48239c1a8c63c9e2f89cb1d2c112274c5164
A-ARR-0072v2	A-ARR	2	fe55007f9de1e4560fa1150e73dffcb9f1ef3facca7aed4cec8caaa667ba06e0
A-ARR-0073v68	A-ARR	2	758826be60fbf7550c4b077b1234aa2fc87b94f33b1246fcdb3160d3d6f59758
A-ARR-0074v36	A-ARR	2	6bd9d4cc3c55b2793c4820cef78275a502acd9e8a21c35fa51dc39af71282c17
A-ARR-0076v10	A-ARR	3	f49ad6a3f67a075b18906f7a7f4da113c5e26ba291e534704ab1a283cacf8305
A-ARR-0076v30	A-ARR	3	87ecf227711ab7646729a0c189ff712e6560bcbaeea03304bd0f071398b7cc9c
A-ARR-0076v62	A-ARR	3	4ae4f1075cca5754908c3c80fc11492fc931b9f7ac29443e13aa91c382636f95
