task_id,tokenizer,language,token_count,char_count,category,difficulty
A-ARR-0001v7,tokenizer_v03,toke,44,245,A-ARR,1
A-ARR-0003v63,tokenizer_v03,toke,22,165,A-ARR,1
A-ARR-0005v10,tokenizer_v03,toke,56,288,A-ARR,1
A-ARR-0006v23,tokenizer_v03,toke,45,253,A-ARR,1
A-ARR-0007v18,tokenizer_v03,toke,16,93,A-ARR,1
A-ARR-0008v69,tokenizer_v03,toke,16,125,A-ARR,1
A-ARR-0009v4,tokenizer_v03,toke,47,196,A-ARR,1
A-ARR-0010v41,tokenizer_v03,toke,19,109,A-ARR,1
A-ARR-0011v61,tokenizer_v03,toke,42,218,A-ARR,1
A-ARR-0011v63,tokenizer_v03,toke,43,192,A-ARR,1
A-ARR-0014v66,tokenizer_v03,toke,44,205,A-ARR,1
A-ARR-0015v55,tokenizer_v03,toke,23,112,A-ARR,1
A-ARR-0017v1,tokenizer_v03,toke,37,144,A-ARR,1
A-ARR-0018v28,tokenizer_v03,toke,50,197,A-ARR,1
A-ARR-0018v54,tokenizer_v03,toke,69,295,A-ARR,1
A-ARR-0018v68,tokenizer_v03,toke,37,197,A-ARR,1
A-ARR-0021v1,tokenizer_v03,toke,20,126,A-ARR,1
A-ARR-0021v29,tokenizer_v03,toke,59,299,A-ARR,1
A-ARR-0022v58,tokenizer_v03,toke,66,358,A-ARR,1
A-ARR-0024v21,tokenizer_v03,toke,54,304,A-ARR,1
A-ARR-0025v57,tokenizer_v03,toke,65,268,A-ARR,1
A-ARR-0026v17,tokenizer_v03,toke,37,234,A-ARR,1
A-ARR-0027v10,tokenizer_v03,toke,27,168,A-ARR,1
A-ARR-0028v31,tokenizer_v03,toke,50,271,A-ARR,1
A-ARR-0028v38,tokenizer_v03,toke,31,155,A-ARR,1
A-ARR-0031v64,tokenizer_v03,toke,21,90,A-ARR,1
A-ARR-0032v15,tokenizer_v03,toke,28,140,A-ARR,1
A-ARR-0032v21,tokenizer_v03,toke,44,255,A-ARR,1
A-ARR-0032v46,tokenizer_v03,toke,113,451,A-ARR,1
A-ARR-0033,tokenizer_v03,toke,59,244,A-ARR,1
A-ARR-0033v2,tokenizer_v03,toke,41,201,A-ARR,1
A-ARR-0033v26,tokenizer_v03,toke,63,281,A-ARR,1
A-ARR-0034v28,tokenizer_v03,toke,40,201,A-ARR,1
A-ARR-0035v20,tokenizer_v03,toke,48,267,A-ARR,2
A-ARR-0035v41,tokenizer_v03,toke,74,399,A-ARR,2
A-ARR-0035v54,tokenizer_v03,toke,44,186,A-ARR,2
A-ARR-0037v61,tokenizer_v03,toke,92,451,A-ARR,2
A-ARR-0041v65,tokenizer_v03,toke,28,157,A-ARR,2
A-ARR-0041v69,tokenizer_v03,toke,28,155,A-ARR,2
A-ARR-0042v45,tokenizer_v03,toke,73,363,A-ARR,2
A-ARR-0042v57,tokenizer_v03,toke,26,162,A-ARR,2
A-ARR-0042v63,tokenizer_v03,toke,52,316,A-ARR,2
A-ARR-0043v6,tokenizer_v03,toke,46,285,A-ARR,2
A-ARR-0044v11,tokenizer_v03,toke,27,164,A-ARR,2
A-ARR-0045v8,tokenizer_v03,toke,119,452,A-ARR,2
A-ARR-0046v39,tokenizer_v03,toke,94,490,A-ARR,2
A-ARR-0047v22,tokenizer_v03,toke,55,253,A-ARR,2
A-ARR-0047v68,tokenizer_v03,toke,20,138,A-ARR,2
A-ARR-0048v3,tokenizer_v03,toke,45,263,A-ARR,2
A-ARR-0048v44,tokenizer_v03,toke,62,349,A-ARR,2
A-ARR-0049v13,tokenizer_v03,toke,27,189,A-ARR,2
A-ARR-0049v40,tokenizer_v03,toke,23,150,A-ARR,2
A-ARR-0049v66,tokenizer_v03,toke,25,160,A-ARR,2
A-ARR-0051v63,tokenizer_v03,toke,46,250,A-ARR,2
A-ARR-0052v53,tokenizer_v03,toke,75,406,A-ARR,2
A-ARR-0052v63,tokenizer_v03,toke,39,243,A-ARR,2
A-ARR-0056v65,tokenizer_v03,toke,89,408,A-ARR,2
A-ARR-0057v15,tokenizer_v03,toke,105,518,A-ARR,2
A-ARR-0058v13,tokenizer_v03,toke,58,250,A-ARR,2
A-ARR-0058v24,tokenizer_v03,toke,59,261,A-ARR,2
A-ARR-0063v46,tokenizer_v03,toke,62,278,A-ARR,2
A-ARR-0066v24,tokenizer_v03,toke,60,298,A-ARR,2
A-ARR-0066v53,tokenizer_v03,toke,23,137,A-ARR,2
A-ARR-0066v9,tokenizer_v03,toke,25,129,A-ARR,2
A-ARR-0067v66,tokenizer_v03,toke,21,156,A-ARR,2
A-ARR-0068v30,tokenizer_v03,toke,96,414,A-ARR,2
A-ARR-0069v8,tokenizer_v03,toke,90,393,A-ARR,2
A-ARR-0071v8,tokenizer_v03,toke,122,538,A-ARR,2
A-ARR-0072v13,tokenizer_v03,toke,31,203,A-ARR,2
A-ARR-0072v19,tokenizer_v03,toke,102,435,A-ARR,2
A-ARR-0072v2,tokenizer_v03,toke,54,303,A-ARR,2
A-ARR-0073v68,tokenizer_v03,toke,119,493,A-ARR,2
A-ARR-0074v36,tokenizer_v03,toke,71,381,A-ARR,2
A-ARR-0076v10,tokenizer_v03,toke,32,135,A-ARR,3
A-ARR-0076v30,tokenizer_v03,toke,78,318,A-ARR,3
A-ARR-0076v62,tokenizer_v03,toke,40,199,A-ARR,3
A-ARR-0076v8,tokenizer_v03,toke,59,292,A-ARR,3
A-ARR-0077v34,tokenizer_v03,toke,39,197,A-ARR,3
A-ARR-0077v36,tokenizer_v03,toke,39,199,A-ARR,3
A-ARR-0078v35,tokenizer_v03,toke,62,288,A-ARR,3
A-ARR-0078v57,tokenizer_v03,toke,84,359,A-ARR,3
A-ARR-0079v20,tokenizer_v03,toke,122,541,A-ARR,3
A-ARR-0079v49,tokenizer_v03,toke,49,192,A-ARR,3
A-ARR-0080v55,tokenizer_v03,toke,151,679,A-ARR,3
A-ARR-0080v58,tokenizer_v03,toke,92,440,A-ARR,3
A-ARR-0081v16,tokenizer_v03,toke,58,291,A-ARR,3
A-ARR-0081v23,tokenizer_v03,toke,124,509,A-ARR,3
A-ARR-0081v30,tokenizer_v03,toke,44,223,A-ARR,3
A-ARR-0081v64,tokenizer_v03,toke,43,198,A-ARR,3
A-ARR-0081v66,tokenizer_v03,toke,114,471,A-ARR,3
A-ARR-0082v45,tokenizer_v03,toke,80,359,A-ARR,3
A-ARR-0084v35,tokenizer_v03,toke,62,335,A-ARR,3
A-ARR-0084v55,tokenizer_v03,toke,119,626,A-ARR,3
A-ARR-0084v62,tokenizer_v03,toke,92,443,A-ARR,3
A-ARR-0086,tokenizer_v03,toke,49,297,A-ARR,3
A-ARR-0086v45,tokenizer_v03,toke,123,613,A-ARR,3
A-ARR-0086v57,tokenizer_v03,toke,78,417,A-ARR,3
A-ARR-0087v1,tokenizer_v03,toke,52,335,A-ARR,3
A-ARR-0087v12,tokenizer_v03,toke,102,599,A-ARR,3
A-ARR-0088v12,tokenizer_v03,toke,36,270,A-ARR,3
A-ARR-0088v13,tokenizer_v03,toke,34,239,A-ARR,3
A-ARR-0088v33,tokenizer_v03,toke,67,364,A-ARR,3
A-ARR-0090v13,tokenizer_v03,toke,56,349,A-ARR,3
A-ARR-0091v64,tokenizer_v03,toke,49,307,A-ARR,2
A-ARR-0092v1,tokenizer_v03,toke,41,315,A-ARR,2
A-ARR-0092v19,tokenizer_v03,toke,87,439,A-ARR,2
A-ARR-0094v16,tokenizer_v03,toke,66,335,A-ARR,2
A-ARR-0094v17,tokenizer_v03,toke,75,419,A-ARR,2
A-ARR-0096v36,tokenizer_v03,toke,66,450,A-ARR,2
A-ARR-0096v66,tokenizer_v03,toke,45,335,A-ARR,2
A-ARR-0099v32,tokenizer_v03,toke,43,294,A-ARR,2
A-ARR-0103,tokenizer_v03,toke,48,238,A-ARR,2
A-ARR-0105v25,tokenizer_v03,toke,32,186,A-ARR,2
A-ARR-0105v37,tokenizer_v03,toke,74,315,A-ARR,2
A-ARR-0105v67,tokenizer_v03,toke,29,171,A-ARR,2
A-ARR-0107v49,tokenizer_v03,toke,30,179,A-ARR,2
A-ARR-0108v11,tokenizer_v03,toke,89,444,A-ARR,2
A-ARR-0112v42,tokenizer_v03,toke,104,469,A-ARR,2
A-ARR-0112v52,tokenizer_v03,toke,107,442,A-ARR,2
A-ARR-0113v39,tokenizer_v03,toke,31,213,A-ARR,3
A-ARR-0114v12,tokenizer_v03,toke,64,358,A-ARR,3
A-ARR-0116v40,tokenizer_v03,toke,58,264,A-ARR,2
A-ARR-0116v59,tokenizer_v03,toke,17,169,A-ARR,2
A-ARR-0117v38,tokenizer_v03,toke,57,291,A-ARR,2
A-ARR-0117v40,tokenizer_v03,toke,39,257,A-ARR,2
A-ARR-0117v9,tokenizer_v03,toke,21,147,A-ARR,2
A-ARR-0118v9,tokenizer_v03,toke,21,137,A-ARR,2
A-ARR-0119v6,tokenizer_v03,toke,49,262,A-ARR,3
A-CND-0005v22,tokenizer_v03,toke,54,205,A-CND,1
A-CND-0008v82,tokenizer_v03,toke,78,290,A-CND,1
A-CND-0012v42,tokenizer_v03,toke,38,156,A-CND,1
A-CND-0013v51,tokenizer_v03,toke,73,326,A-CND,1
A-CND-0014v38,tokenizer_v03,toke,18,82,A-CND,1
A-CND-0015v75,tokenizer_v03,toke,37,187,A-CND,1
